task_id,original_question,source_dataset,correct_answer,correct_path_cypher,malicious_answer,malicious_path_cypher,annotator,status
webqsp_WebQTrn-293,what are the basic beliefs of sikhism,webqsp,Dharma (m.02fbl) | Karma (m.049hc) | Monotheism (m.04xy3) | Pyaar (m.0c576t) | Reincarnation (m.06fmt) | Sa?s¨¡ra (m.017kx3),,,,,pending
webqsp_WebQTrn-1992,who shot j lennon,webqsp,Mark David Chapman (m.01p64f),,,,,pending
webqsp_WebQTrn-1429,who is adam sandler,webqsp,Actor (m.02hrh1q) | Comedian (m.018gz8) | Film Producer (m.01d_h8) | Musician (m.09jwl) | Screenwriter (m.0dxtg) | Songwriter (m.0nbcg) | Television producer (m.03gjzk) | Voice Actor (m.0np9r),,,,,pending
webqsp_WebQTrn-385,what are buddhist gods,webqsp,Acala (m.02lxg9) | Asura (m.0dd2j3) | Hariti (m.018q6f) | N¨¡ga (m.04fckk) | Yaksha (m.03vh65) | Yama (m.0czf7z),,,,,pending
webqsp_WebQTrn-1044,what is the zip code of new york city,webqsp,10001 (m.020cp3y) | 10002 (m.020cmr8) | 10003 (m.020cn0m) | 10004 (m.020cn_r) | 10005 (m.020cm14) | 10006 (m.020d1nr) | 10007 (m.020cx3d) | 10007-2136 (m.0zf6j8h) | 10009 (m.020cm7r) | 10010 (m.020cnsq) | 10011 (m.020cnmw) | 10012 (m.020cmkn) | 10013 (m.020cm5s) | 10014 (m.020clxq) | 10016 (m.020cm8s) | 10017 (m.020cng6) | 10017-2299 (m.09sh45t) | 10017-3147 (m.09r__f4) | 10017-3954 (m.09sfpb1) | 10017-4019 (m.0_w67hg) | 10018 (m.020cmv1) | 10019 (m.020cltt) | 10020 (m.020cwxl) | 10021 (m.020cm2l) | 10022 (m.020cmyr) | 10023 (m.020cn6r) | 10024 (m.020cmps) | 10024-1826 (m.0gtbdpl) | 10024-2748 (m.0gwdbvx) | 10025 (m.020cl_8) | 10025-5381 (m.0_mhlxy) | 10026 (m.020cnlw) | 10027 (m.020crcb) | 10028 (m.020cm48) | 10029 (m.020cp8s) | 10029-6574 (m.0h7ryg8) | 10030 (m.020dtg6) | 10031 (m.020cq__) | 10031-6282 (m.0gw4pc8) | 10032 (m.020dg8t) | 10033 (m.020fynd) | 10034 (m.020d4r3) | 10035 (m.020dhp6) | 10036 (m.020cmcd) | 10037 (m.03dtw7x) | 10038 (m.020cnj9) | 10039 (m.020d4sy) | 10040 (m.020clzc) | 10041 (m.03dtw8w) | 10043 (m.04l021b) | 10044 (m.03dtw98) | 10045 (m.07nrr04) | 10046 (m.07nrq_y) | 10048 (m.09rz8fm) | 10048-0203 (m.09sbscr) | 10055 (m.05nlt8h) | 10060 (m.07nrq_h) | 10065 (m.04lqcpy) | 10069 (m.03dtw9w) | 10072 (m.07nrq_1) | 10075 (m.07nrqzv) | 10079 (m.07nrqzm) | 10080 (m.07nrqzd) | 10081 (m.07nrqz5) | 10082 (m.07nrqyz) | 10087 (m.07nrqyr) | 10090 (m.07nrqyj) | 10094 (m.07nrqy9) | 10095 (m.07nrqy2) | 10096 (m.07nrqxw) | 10098 (m.07nrqxn) | 10099 (m.07nrqxf) | 10101 (m.07tnk2y) | 10102 (m.07nrqx6) | 10103 (m.020f865) | 10104 (m.020fscw) | 10105 (m.04k_fg6) | 10106 (m.03qs2cj) | 10107 (m.020tdj5) | 10108 (m.07tnk2q) | 10109 (m.07nrqws) | 10110 (m.0290rz5) | 10111 (m.03dtwbg) | 10112 (m.03dtwbw) | 10113 (m.07nrqwk) | 10114 (m.07nrqwb) | 10115 (m.03dtwc8) | 10116 (m.03bqhf8) | 10117 (m.07nrqw3) | 10118 (m.046vzr7) | 10119 (m.020fzxq) | 10120 (m.07nrqvp) | 10121 (m.07nrqvg) | 10122 (m.07nrqv7) | 10123 (m.07nrqv0) | 10124 (m.045p8jl) | 10125 (m.07nrqtl) | 10126 (m.07nrqtc) | 10128 (m.020cqz5) | 10129 (m.07nrqt4) | 10130 (m.07nrqsy) | 10131 (m.07nrqsq) | 10132 (m.07nrqsh) | 10133 (m.07nrqs8) | 10138 (m.07nrqs1) | 10149 (m.07nrqrv) | 10150 (m.07nrqrm) | 10151 (m.07nrqrd) | 10152 (m.03dtwd1) | 10153 (m.03dtwdg) | 10154 (m.03dtwdw) | 10155 (m.07nrqr5) | 10156 (m.07nrqqz) | 10157 (m.07nrqqr) | 10158 (m.07nrqqj) | 10159 (m.07nrqq9) | 10160 (m.07nrqq2) | 10161 (m.07nrqpw) | 10162 (m.03dtwf8) | 10163 (m.07nrqpn) | 10164 (m.07nrqpf) | 10165 (m.03dtwfp) | 10166 (m.020d8y2) | 10166-3399 (m.09shyxm) | 10167 (m.02h3_7t) | 10168 (m.07nrqp6) | 10169 (m.020cxr5) | 10170 (m.02vkh17) | 10171 (m.03dtwgh) | 10172 (m.03dtwgx) | 10173 (m.03dtwh9) | 10174 (m.07nrqn_) | 10175 (m.07nrqns) | 10176 (m.07nrqnk) | 10177 (m.03dtwhq) | 10178 (m.07nrqnb) | 10179 (m.07nrqn1) | 10184 (m.07nrqmv) | 10185 (m.07nrqmj) | 10196 (m.07nrqm9) | 10197 (m.07nrqm2) | 10199 (m.07nrqlw) | 10203 (m.016cddv) | 10211 (m.07nrqlj) | 10212 (m.07nrql9) | 10213 (m.07nrql2) | 10242 (m.07nrqkw) | 10249 (m.07nrqkn) | 10256 (m.07nrqkf) | 10257 (m.07nrqk6) | 10258 (m.07nrqj_) | 10259 (m.07nrqjs) | 10260 (m.07nrqjk) | 10261 (m.07nrqjb) | 10261-1094 (m.09sl6l2) | 10265 (m.07nrqj3) | 10268 (m.07nrqhx) | 10269 (m.07nrqhp) | 10270 (m.04dxqrf) | 10271 (m.03dtwj3) | 10271-0080 (m.09smbyz) | 10272 (m.07nrqh7) | 10273 (m.07nrqh0) | 10274 (m.07nrqgt) | 10275 (m.07nrqgl) | 10276 (m.07nrqgc) | 10277 (m.07nrqg4) | 10278 (m.03dtwjj) | 10279 (m.03dtwjy) | 10280 (m.020d8m0) | 10281 (m.020cr5d) | 10282 (m.03dtwkj) | 10285 (m.07nrqfy) | 10286 (m.05hr2bj) | 10292 (m.07nrqfh) | 11217 (m.020c50v) | 11217-1415 (m.0107dzx4) | 11411 (m.03dtz5z) | 11416 (m.03dtz7_) | 11417 (m.03dtz8d) | 11429 (m.03dtzdg) | 11429-2708 (m.0gw5p40) | 11692 (m.03dtz_s),,,,,pending
webqsp_WebQTrn-2587,who is the current governor of georgia 2011,webqsp,Nathan Deal (m.0255js) | Sonny Perdue (m.01xypd),,,,,pending
webqsp_WebQTrn-3240,what country did ponce de leon live in,webqsp,Spain (m.06mkj),,,,,pending
webqsp_WebQTrn-368,what is the china money called,webqsp,Renminbi (m.0hn4_),,,,,pending
webqsp_WebQTrn-852,what movies have queen latifah played in,webqsp,22 Jump Street (m.0v_w91n) | Arctic Tale (m.02rg6sm) | Barbershop 2: Back in Business (m.02ntj8) | Barbershop 3 (m.01370796) | Beauty Shop (m.05rkmv) | Bessie (m.01345yx_) | Breaking Out: The Alcatraz Concert (m.0crw1rn) | Bringing Down the House (m.08qsz2) | Bringing Out the Dead (m.01yzjg) | Brown Sugar (m.07_3vm) | Chicago (m.01cmp9) | Hairspray (m.0bt3j9) | Hairspray 2: White Lipstick (m.05p46dv) | Hoodlum (m.060p1m) | House Party 2 (m.054vql) | Ice Age: A Mammoth Christmas (m.0j24hls) | Ice Age: Continental Drift (m.0fpgp26) | Ice Age: Dawn of the Dinosaurs (m.027j9wd) | Ice Age: The Meltdown (m.0729rh) | Joyful Noise (m.0g54bw9) | Juice (m.08w51z) | Jungle Fever (m.016f62) | Just Wright (m.07kbj2s) | Kung Faux: Vol. 1 (m.0crv_pd) | Kung Faux: Vol. 2 (m.0cs85c7) | Kung Faux: Vol. 3 (m.0crvfd7) | Kung Faux: Vol. 4 (m.010p_crb) | Kung Faux: Vol. 5 (m.0crw75p) | Last Holiday (m.07nt4j) | Life Support (m.02z84b3) | Life in the 310: Vol. 3 (m.0cs45fr) | Living Out Loud (m.0kvh49) | Living with the Dead (m.05zynv8) | Mad Money (m.02wc6sp) | Mama Flora's Family (m.0bvpwc6) | My Life (m.0ds27b) | One Love: The Bob Marley All-Star Tribute (m.0crxknq) | Queen Latifah - Unauthorized (m.0cryhb4) | Scary Movie 3 (m.03l6q0) | Set It Off (m.032knp) | Sphere (m.04rncw) | Steel Magnolias (m.0j72nq9) | Stranger than Fiction (m.0bm2nq) | Taxi (m.02b5v3) | The Bone Collector (m.06fwns) | The Cookout (m.06bks2) | The Country Bears (m.06n95j) | The Dilemma (m.0c3_662) | The Making of What's Going On: An All-Star Tribute (m.0crt91p) | The Muppets' Wizard of Oz (m.0569lx) | The Perfect Holiday (m.03cljvq) | The Secret Life of Bees (m.04f9bz6) | Through the Years of Hip-Hop: Vol. 1: Graffiti (m.0cs2r3l) | Valentine's Day (m.06_wqk4) | We Are Family (m.0crvchf) | We Are One: The Obama Inaugural Celebration at the Lincoln Memorial (m.05bzxn0) | What Happens in Vegas (m.03c3vl6) | Zac Efron's Pool Party (m.0gym9j6),,,,,pending
webqsp_WebQTrn-1940,where does brian williams live,webqsp,Elmira (m.01mb87),,,,,pending
webqsp_WebQTrn-360,what did kate winslet get an oscar for,webqsp,The Reader (m.03cw411),,,,,pending
webqsp_WebQTrn-449,where did lee corso go to college,webqsp,Florida State University (m.01jq0j),,,,,pending
webqsp_WebQTrn-3669,where is the spratly islands located,webqsp,Asia (m.0j0k),,,,,pending
webqsp_WebQTrn-529,what is pennsylvania 's state flower called,webqsp,Kalmia latifolia (m.04bxc),,,,,pending
webqsp_WebQTrn-560,how many teams are there in the ncaa football,webqsp,Auburn Tigers football (m.086hg9) | LSU Tigers football (m.0fht9f) | Miami Hurricanes football (m.07kcvl) | Michigan Wolverines football (m.0fsb_6) | Nebraska Cornhuskers football (m.0bjkk9) | Ohio State Buckeyes football (m.0fjzsy) | Oregon Ducks football (m.0fbq2n) | Penn State Nittany Lions football (m.0frm7n) | Stanford Cardinal football (m.02pd1tf) | USC Trojans football (m.07k53y),,,,,pending
webqsp_WebQTrn-2508,where did brian williams go to college,webqsp,Brookdale Community College (m.05twn6) | George Washington University (m.01nnsv) | The Catholic University of America (m.02vnp2),,,,,pending
webqsp_WebQTrn-1384,who was louis xvi,webqsp,Duke of Normandy (m.0290vf) | King of France (m.05st_0j) | King of Navarre (m.063032x),,,,,pending
webqsp_WebQTrn-300,where is the ottoman empire located,webqsp,Near East (m.01ffbn),,,,,pending
webqsp_WebQTrn-2198,what did fred goodwin do,webqsp,Businessperson (m.012t_z) | Chartered Accountant (m.04p2dz),,,,,pending
webqsp_WebQTrn-730,where did madoff live in nyc,webqsp,Manhattan (m.0cc56) | Queens (m.0ccvx),,,,,pending
webqsp_WebQTrn-772,who did the baltimore ravens draft in 2011,webqsp,Jimmy Smith (m.0drxh6r),,,,,pending
webqsp_WebQTrn-3507,who plays saruman in lord of the rings,webqsp,Christopher Lee (m.0f0kz),,,,,pending
webqsp_WebQTrn-211,what money do they use in chile,webqsp,Chilean peso (m.0172zs),,,,,pending
webqsp_WebQTrn-1474,what countries do they speak italian,webqsp,Argentina (m.0jgd) | Brazil (m.015fr) | Croatia (m.01pj7) | Gozo (m.0rpgpql) | Italy (m.03rjj) | Mexico (m.0b90_r) | Republic of Genoa (m.02q14r) | San Marino (m.06sff) | Slovenia (m.06t8v) | Switzerland (m.06mzp) | Vatican City (m.07ytt),,,,,pending
webqsp_WebQTrn-2991,where did nick clegg go to prep school,webqsp,Caldicott School (m.02qg0tp),,,,,pending
webqsp_WebQTrn-2651,what do they speak iceland,webqsp,Icelandic Language (m.01gmkg),,,,,pending
webqsp_WebQTrn-770,what airport is close to daytona beach florida,webqsp,Daytona Beach International Airport (m.07jwl0) | Massey Ranch Airpark (m.03byvk1) | Spruce Creek Airport (m.02w45sm),,,,,pending
webqsp_WebQTrn-1297,where did justin bieber grew up,webqsp,London (m.0b1t1),,,,,pending
webqsp_WebQTrn-2792,who does the uk trade with,webqsp,Angola (m.0j4b) | Anguilla (m.0n3g) | Canada (m.0d060g) | Sierra Leone (m.06s_2) | United States of America (m.09c7w0),,,,,pending
webqsp_WebQTrn-222,where did matthias schleiden go to school,webqsp,Heidelberg University (m.0pmcz),,,,,pending
webqsp_WebQTrn-1653,who played andy in toy story 3,webqsp,Charlie Bright (m.0g54mwg) | John Morris (m.026jltx),,,,,pending
webqsp_WebQTrn-524,where do houston aeros play,webqsp,Lakewood Church Central Campus (m.01txlf),,,,,pending
webqsp_WebQTrn-2352,who are the judges of the supreme court,webqsp,Anthony Kennedy (m.019s7r) | Antonin Scalia (m.0166zk) | Clarence Thomas (m.01_4j) | Elena Kagan (m.06lnfm) | John Roberts (m.066vhq) | Ruth Bader Ginsburg (m.0199pk) | Samuel Alito (m.04gnxk) | Sonia Sotomayor (m.06lvrr) | Stephen Breyer (m.016m0v),,,,,pending
webqsp_WebQTrn-1122,what illnesses did george washington have,webqsp,Malaria (m.0542n) | Smallpox (m.06vr2) | Tuberculosis (m.07jwr),,,,,pending
webqsp_WebQTrn-1383,where is bergen belsen concentration camp located,webqsp,Germany (m.0345h),,,,,pending
webqsp_WebQTrn-636,what was eli whitney nationality,webqsp,United States of America (m.09c7w0),,,,,pending
webqsp_WebQTrn-1266,what theme songs did alan thicke wrote,webqsp,Arnold & Willy (Diff'rent Strokes) (m.0zl7d7s) | Big Wheels (m.0zwh63k) | Facts of Life (m.0_jvj26) | Hockey Sock Rock (m.0g54xzv) | It Takes Diff'rent Strokes (m.0n9cmjv) | The Facts of Life (m.0_k73bx),,,,,pending
webqsp_WebQTrn-1612,what country was vasco nunez de balboa born in,webqsp,Spain (m.06mkj),,,,,pending
webqsp_WebQTrn-172,where did the houston oilers football team go,webqsp,Tennessee Oilers (m.06f2k5d),,,,,pending
webqsp_WebQTrn-135,what is the dominant language in israel,webqsp,Arabic Language (m.0jzc) | Hebrew Language (m.03hkp),,,,,pending
webqsp_WebQTrn-2983,what country did the zulu live in,webqsp,Southern Africa (m.02c59t),,,,,pending
webqsp_WebQTrn-2026,what currency does the dominican republic,webqsp,Dominican peso (m.04lt7_),,,,,pending
webqsp_WebQTrn-2136,what year did baltimore ravens win the superbowl,webqsp,Super Bowl XLVII (m.0642vqv) | Super Bowl XXXV (m.076yq),,,,,pending
webqsp_WebQTrn-401,where was leonardo da vinci when he died,webqsp,Amboise (m.01jvvc),,,,,pending
webqsp_WebQTrn-3743,what to do in venice beach ca,webqsp,72 Market Street Oyster Bar and Grill (m.0hr5dd1) | Beyond Baroque Literary Arts Center (m.05p3m29) | Binoculars Building (m.02rfng5) | First Lutheran Church of Venice (m.09z99h) | L.A. Louver (m.0fy0rf) | Muscle Beach (m.01z4sg) | Social and Public Art Resource Center (m.0f7zgx) | Venice Branch (m.047c1tt) | Venice Canal Historic District (m.047b_hk) | Venice United Methodist Church (m.027l5dg),,,,,pending
webqsp_WebQTrn-3043,what is the name of the capital of spain,webqsp,Madrid (m.056_y),,,,,pending
